Epig,Oxd,GI,Apo,Prf,Elec
0.9364769899694674,0.01470737023933366,0.3784911717495987,0.8428882937512198,0.4779654912988245,0.99021604743976
0.8552028314235157,0.007344422620572555,0.2715355805243445,0.754573848331256,0.43603131436464776,0.8440537557476118
0.6359399691958365,0.004635206022482143,0.8090690208667737,2.144643387358456e-07,0.6266862766862767,0.9999994003564446
0.3357360390086825,0.9998857942935876,0.7049536293918317,0.3681133874266513,0.4912112052798328,0.9999999998287501
0.933013222909716,0.9999557143663114,0.9593365436062063,0.4573578403627301,0.3411235061235061,0.7307685990106971
0.6233756035719201,0.00019217974093833969,0.27495987158908514,0.2715410834305816,0.6289804639804639,5.780495341897524e-05
0.9443616572148564,0.0017953514626136491,0.33105939004815405,0.8278339085580161,0.5537088619441561,0.013073621879272086
0.19061223732744764,0.0005980810410423846,0.8628678437667201,0.0,0.4494301994301994,0.9999823452671346
0.9326129879226852,0.17451608039387814,0.30385232744783297,0.5547206902941403,0.5553493420160088,0.9999753991945556
0.3006443263061202,0.9999742043365956,0.9775280898876404,0.26119613636445216,0.3661891195224529,0.9999999196217622
0.6764988222619196,0.0038236484354469617,0.2882825040128411,0.7505257170418833,0.3994359961026627,1.0921476380403565e-05
0.11127421364453367,5.622966454131792e-07,0.7564205457463884,0.08722839808610497,0.3214790148123481,0.999635929714945
0.5428143250991823,0.9974727554690216,1.0,0.18721905482510068,0.21592592592592602,0.9999998747939196
0.9172189567077604,0.99999979287971,0.9422596754057428,0.2846571650564315,0.1868778443778444,0.9999995784765878
0.2112218979311358,1.8865777339310799e-06,0.3014713750668807,0.0,0.6615756066736461,4.656895587671896e-07
0.8767284289913815,1.937110043069912e-06,0.27303370786516856,0.716700011261132,0.7950107916774583,0.0005682406149748372
0.8554275837329047,0.00031314937866137014,0.018726591760299626,1.0,0.6493430335097002,0.5527987536479733
0.1475993145641005,0.1337919094169376,0.9135901551631892,0.18610335025311087,0.2760061144374871,0.9999998162445772
0.31015954220290337,0.002172180554852195,0.8505350454788656,0.43749388922060856,0.36565866232532895,7.536912488709195e-05
0.9120917938157462,0.0008890066206720848,0.059390048154093086,0.8218595250085846,0.5218874643874644,0.6700519758758525
0.6897673351837634,2.321492415640009e-05,0.8400749063670412,0.09862506489459323,0.4403771537104871,0.9999983380636466
0.6983425065606744,0.9999958399009976,0.436115569823435,0.1799324227492922,0.6187277754924814,0.999882172298136
0.927216359948742,3.073870367327108e-05,0.3885946138755128,0.9120205422353421,0.32573266239932896,0.9999985327913588
0.9020513284184782,0.977402281536718,0.2642322097378277,0.9133969571867141,0.4191541791541792,0.9999999767153483
0.798767497291071,0.999996554190701,0.8033707865168539,0.271780098547252,0.19639971139971146,0.9999999931385432
0.9461818872270392,0.5920735078627939,0.4525548421615837,0.41537078236126795,0.7660866910866909,0.999999999732665
0.9423989119148364,3.6028931869550376e-06,0.37880774032459424,0.7417633144873216,0.37035162368495694,0.9999999930427126
0.7267502881530474,2.5252385404547995e-06,0.052648475120385216,0.35962124920241023,0.5690185123518456,0.00034991274190558587
0.9023482004479898,0.9942707555445492,0.945068664169788,0.3640918057956107,0.13438228438228436,0.9999999996951758
0.8715282417013104,0.9659226759131341,0.11803103263777424,0.8193852510559059,0.6275402375402377,0.9997339077315036
0.18805564958542914,4.1296578235057e-05,0.32629748528624936,0.3585385898104008,0.6125616975616975,0.6463428594046629
0.3670079541415367,0.03808411177357168,0.9831460674157304,0.27526055711164543,0.4026731365947053,0.9886811584613824
0.17639740407826868,0.9993179764424492,0.9060995184590692,0.1986666060074201,0.1817047150380484,0.9999986902444176
0.31467723661553604,0.9999999609278124,0.9741662207954344,0.29218896592842125,0.22400352733686069,0.9999999999736532
0.8997604475992463,0.1386930840299706,0.31425896201177106,1.0,0.2957848324514991,0.2429013680638624
0.8304287862712542,0.9723173526313421,0.3051850770951895,0.9141555004246364,0.2998232014898681,0.4481784750154466
0.510873531961851,0.0005437309992680243,0.8382825040128411,0.17943150004350716,0.3134455667789001,0.966055313375334
0.05445888150330072,0.0008918315025169543,0.4919208132691278,0.8299387244714284,0.3280410947077613,1.529349675862607e-05
0.473008590003855,3.8392560616576275e-06,0.4080524344569288,0.3507845114371217,0.4526017809351143,5.450592525497716e-06
0.3309547574332574,2.980978449185348e-05,0.9468789013732832,0.4404141677698689,0.4575552842219509,0.9997636969002272
0.23211554507283025,1.2789365782508016e-05,0.1890850722311396,0.7450872482420651,0.8170628137294804,3.126772302051275e-05
